Pais,Nome_da_moeda,Continente,Países_vizinhos,Timestamp
Afghanistan,Afghani,AS,"Turkmenistan, China, Iran, Tajikistan, Pakistan, Uzbekistan",2024-09-04T15:13:53.566884
Aland Islands,Euro,EU,,2024-09-04T15:13:53.672882
Albania,Lek,EU,"Macedonia, Greece, Serbia and Montenegro, Montenegro, Serbia, Kosovo",2024-09-04T15:13:54.090882
Algeria,Dinar,AF,"Niger, Western Sahara, Libya, Mauritania, Tunisia, Morocco, Mali",2024-09-04T15:13:54.583884
American Samoa,Dollar,OC,,2024-09-04T15:13:54.676884
Andorra,Euro,EU,"Spain, France",2024-09-04T15:13:54.850884
Angola,Kwanza,AF,"Democratic Republic of the Congo, Namibia, Zambia, Republic of the Congo",2024-09-04T15:13:55.142882
Anguilla,Dollar,NA,,2024-09-04T15:13:55.232883
Antarctica,,AN,,2024-09-04T15:13:55.338882
Antigua and Barbuda,Dollar,NA,,2024-09-04T15:13:55.426882
Argentina,Peso,SA,"Chile, Bolivia, Uruguay, Paraguay, Brazil",2024-09-04T15:13:56.314461
Armenia,Dram,AS,"Georgia, Iran, Azerbaijan, Turkey",2024-09-04T15:13:56.604461
Aruba,Guilder,NA,,2024-09-04T15:13:56.695461
Australia,Dollar,OC,,2024-09-04T15:13:56.793701
Austria,Euro,EU,"Switzerland, Germany, Hungary, Slovakia, Czech Republic, Italy, Slovenia, Liechtenstein",2024-09-04T15:13:57.380702
Azerbaijan,Manat,AS,"Georgia, Iran, Armenia, Turkey, Russia",2024-09-04T15:13:57.736702
Bahamas,Dollar,NA,,2024-09-04T15:13:57.851259
Bahrain,Dinar,AS,,2024-09-04T15:13:57.939257
Bangladesh,Taka,AS,"Myanmar, India",2024-09-04T15:13:58.112213
Barbados,Dollar,NA,,2024-09-04T15:13:58.200331
Belarus,Ruble,EU,"Poland, Lithuania, Ukraine, Russia, Latvia",2024-09-04T15:13:59.076305
Belgium,Euro,EU,"Germany, Netherlands, Luxembourg, France",2024-09-04T15:13:59.385303
Belize,Dollar,NA,"Guatemala, Mexico",2024-09-04T15:13:59.534301
Benin,Franc,AF,"Niger, Togo, Burkina Faso, Nigeria",2024-09-04T15:13:59.796302
Bermuda,Dollar,NA,,2024-09-04T15:13:59.907301
Bhutan,Ngultrum,AS,"China, India",2024-09-04T15:14:00.067303
Bolivia,Boliviano,SA,"Peru, Chile, Paraguay, Brazil, Argentina",2024-09-04T15:14:00.423300
"Bonaire, Saint Eustatius and Saba",Dollar,NA,,2024-09-04T15:14:00.529303
Bosnia and Herzegovina,Marka,EU,"Serbia and Montenegro, Croatia, Montenegro, Serbia",2024-09-04T15:14:00.801301
Botswana,Pula,AF,"Zimbabwe, South Africa, Namibia",2024-09-04T15:14:01.027304
Bouvet Island,Krone,AN,,2024-09-04T15:14:01.651278
Brazil,Real,SA,"Suriname, Peru, Bolivia, Uruguay, Guyana, Paraguay, French Guiana, Venezuela, Colombia, Argentina",2024-09-04T15:14:02.321027
British Indian Ocean Territory,Dollar,AS,,2024-09-04T15:14:02.416027
British Virgin Islands,Dollar,NA,,2024-09-04T15:14:02.515448
Brunei,Dollar,AS,Malaysia,2024-09-04T15:14:02.611449
Bulgaria,Lev,EU,"Macedonia, Greece, Romania, Serbia and Montenegro, Turkey, Serbia",2024-09-04T15:14:03.037860
Burkina Faso,Franc,AF,"Niger, Benin, Ghana, Ivory Coast, Togo, Mali",2024-09-04T15:14:03.486550
Burundi,Franc,AF,"Tanzania, Democratic Republic of the Congo, Rwanda",2024-09-04T15:14:03.713549
Cambodia,Riels,AS,"Laos, Thailand, Vietnam",2024-09-04T15:14:03.924788
Cameroon,Franc,AF,"Chad, Central African Republic, Gabon, Equatorial Guinea, Republic of the Congo, Nigeria",2024-09-04T15:14:04.338251
Canada,Dollar,NA,United States,2024-09-04T15:14:04.959105
Cape Verde,Escudo,AF,,2024-09-04T15:14:05.048111
Cayman Islands,Dollar,NA,,2024-09-04T15:14:05.139105
Central African Republic,Franc,AF,"Chad, Sudan, Democratic Republic of the Congo, South Sudan, Cameroon, Republic of the Congo",2024-09-04T15:14:05.567105
Chad,Franc,AF,"Niger, Libya, Central African Republic, Sudan, Cameroon, Nigeria",2024-09-04T15:14:05.968108
Chile,Peso,SA,"Peru, Bolivia, Argentina",2024-09-04T15:14:06.171105
China,Yuan Renminbi,AS,"Laos, Bhutan, Tajikistan, Kazakhstan, Mongolia, Afghanistan, Nepal, Myanmar, Kyrgyzstan, Pakistan, North Korea, Russia, Vietnam, India",2024-09-04T15:14:07.079496
Christmas Island,Dollar,AS,,2024-09-04T15:14:07.169497
Cocos Islands,Dollar,AS,,2024-09-04T15:14:07.258500
Colombia,Peso,SA,"Ecuador, Peru, Panama, Brazil, Venezuela",2024-09-04T15:14:07.628453
Comoros,Franc,AF,,2024-09-04T15:14:08.251356
Cook Islands,Dollar,OC,,2024-09-04T15:14:08.340353
Costa Rica,Colon,NA,"Panama, Nicaragua",2024-09-04T15:14:08.515353
Croatia,Kuna,EU,"Hungary, Slovenia, Serbia and Montenegro, Bosnia and Herzegovina, Montenegro, Serbia",2024-09-04T15:14:08.911358
Cuba,Peso,NA,United States,2024-09-04T15:14:09.004354
Curacao,Guilder,NA,,2024-09-04T15:14:09.093356
Cyprus,Euro,EU,,2024-09-04T15:14:09.193355
Czech Republic,Koruna,EU,"Poland, Germany, Slovakia, Austria",2024-09-04T15:14:09.494355
Democratic Republic of the Congo,Franc,AF,"Tanzania, Central African Republic, South Sudan, Rwanda, Zambia, Burundi, Uganda, Republic of the Congo, Angola",2024-09-04T15:14:10.072967
Denmark,Krone,EU,Germany,2024-09-04T15:14:10.165969
Djibouti,Franc,AF,"Eritrea, Ethiopia, Somalia",2024-09-04T15:14:10.917881
Dominica,Dollar,NA,,2024-09-04T15:14:11.007244
Dominican Republic,Peso,NA,Haiti,2024-09-04T15:14:11.100247
East Timor,Dollar,OC,Indonesia,2024-09-04T15:14:11.191246
Ecuador,Dollar,SA,"Peru, Colombia",2024-09-04T15:14:11.354913
Egypt,Pound,AF,"Libya, Sudan, Israel",2024-09-04T15:14:11.587491
El Salvador,Dollar,NA,"Guatemala, Honduras",2024-09-04T15:14:11.739941
Equatorial Guinea,Franc,AF,"Gabon, Cameroon",2024-09-04T15:14:11.907940
Eritrea,Nakfa,AF,"Ethiopia, Sudan, Djibouti",2024-09-04T15:14:12.114007
Estonia,Euro,EU,"Russia, Latvia",2024-09-04T15:14:12.264006
Ethiopia,Birr,AF,"Eritrea, Kenya, Sudan, South Sudan, Somalia, Djibouti",2024-09-04T15:14:13.217937
Falkland Islands,Pound,SA,,2024-09-04T15:14:13.307324
Faroe Islands,Krone,EU,,2024-09-04T15:14:13.398228
Fiji,Dollar,OC,,2024-09-04T15:14:13.507314
